model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,7.661029473,4.485820728,1.310611983,0.148261204
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.478814342,0.280363796,0.081913249,0.009266325
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,0,0,5.281805378
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.172235375,0.086117688,0,7.135070423
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.894589123,1.731570349,1.568551575,1.66793854
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,5.35,7.7,33.06
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Export,TWh/year,57.7,57.7,89.9089705,80.92,82.095,83.27,51.57
image,SSP2-RCP26,N1_ref,FR,Production|Electricity|Total (w/o export correction),TWh/year,533.879078,495.1194395,536.876415,582.9,615.25,647.6,702.9
image,SSP2-RCP26,N1_ref,FR,Transformation|Electricity|High to medium,TWh/year,475.8168472,438.1758221,443.6468981,503.0854109,536.7734297,570.4614484,682.7220615
image,SSP2-RCP26,N1_ref,FR,Transformation|Electricity|Medium to low,TWh/year,477.779078,440.1194395,447.3058845,504.98,538.505,572.03,684.39
image,SSP2-RCP26,N1_ref,FR,Compensation for losses|Electricity|High,ratio,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434
image,SSP2-RCP26,N1_ref,FR,Compensation for losses|Electricity|Medium,ratio,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607
image,SSP2-RCP26,N1_ref,FR,Compensation for losses|Electricity|Low,ratio,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.69405908,36.72455014,37.7550412,38.42215548
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.38784862,18.91870765,19.44956668,19.79323161
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.411295248,6.12451518,9.837735112,13.18434604
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.81838051,66.71060256,74.6028246,96.37571261
